BARCODE,ITEM DESCRIPTION,, SUPPLIER , SELLING PRICE , PURCHASE PRICE , REV ,,,,
7622300742171,TIGER CRACKERS CHOCOLATE,,CONSUMER, 66.00 , 60.17 , 5.83 ,,,,
7622210549099,TIGER CRACKERS ENSAYMADA,,CONSUMER, 52.00 , 46.37 , 5.63 ,,,,
7622210549068,TIGER CRACKERS LECHE FLAN,,CONSUMER, 52.00 , 46.37 , 5.63 ,,,,
7622210548948,TIGER CRACKERS PLAIN ,,CONSUMER, 52.00 , 46.37 , 5.63 ,,,,
7622210549075,TIGER LECHE SINGLE ,,CONSUMER, 8.00 , 6.00 , 2.00 ,,,,
7622210549105,TIGER SOLO,,CONSUMER, 8.00 , 5.60 , 2.40 ,,,,
7622300743048,TIGER VANILLA,,CONSUMER, 62.00 , 56.41 , 5.59 ,,,,
748485701448,555 TUNA SISIG,,DE LATA, 36.00 , 30.65 , 5.35 ,,,,
4806508624108,MAYON GREENPEAS,,DE LATA, 21.00 , 17.60 , 3.40 ,,,,
4806508626928,MAYON MUSHROOM ,,DE LATA, 49.00 , 46.00 , 3.00 ,,,,
4806504710126,MEGA RED ,,DE LATA, 28.00 ,, NO PP ,,,,
4806504710119,MEGA SARDINES 155G,,DE LATA, 28.00 ,23.5, 4.50 ,,,,
PFOOD,PFOOD LUNCHEON 350g ,,DE LATA, 90.00 , 80.00 , 10.00 ,,,,
748485800738,ARGENTINA BEEF LOAF 150G ,,DE LATA, 24.00 , 20.00 , 4.00 ,,,,
748485804170,ARGENTINA GINILING 150G,,DE LATA, 32.00 , 27.50 , 4.50 ,,,,
748485801261,ARGENTINA MEATLOAF 100G,,DE LATA, 18.00 ,, NO PP ,,,,
4800249005776,BINGO CBEEF 150g,,DE LATA, 21.00 , 18.00 , 3.00 ,,,,
4807999000402,168 CHICKEN LUNCHEON ,,DE LATA, 96.00 , 86.00 , 10.00 ,,,,
748485200668,555 FRIED SARDINES  HOT 155g ,,DE LATA, 38.00 , 32.90 , 5.10 ,,,,
748485200675,555 FRISARD TAUSI ,,DE LATA, 37.00 , 33.00 , 4.00 ,,,,
748485200019,555 GREEN 155g,,DE LATA, 28.00 , 23.50 , 4.50 ,,,,
748485200064,555 GREEN BIG,,DE LATA, 66.00 , 59.00 , 7.00 ,,,,
748485200026,555 SARD HOT 155g,,DE LATA, 28.00 , 23.90 , 4.10 ,,,,
748485200071,555 SARDINES CHILI BIG -425g,,DE LATA, 66.00 , 60.00 , 6.00 ,,,,
748485200040,555 SPANISH  155g,,DE LATA, 37.00 , 32.00 , 5.00 ,,,,
748485701387,555 SPICY PAKSIW ,,DE LATA, 26.00 , 22.20 , 3.80 ,,,,
748485700052,555 SPICY TUNA,,DE LATA, 30.00 , 25.25 , 4.75 ,,,,
748485300108,555 SQUID ,,DE LATA, 39.00 , 35.75 , 3.25 ,,,,
748485700083,555 TUNA,,DE LATA, 31.00 , 26.50 , 4.50 ,,,,
748485700014,555 TUNA ADOBO ,,DE LATA, 34.00 , 28.50 , 5.50 ,,,,
748485700021,555 TUNA AFRITADA,,DE LATA, 33.00 , 27.50 , 5.50 ,,,,
748485700090,555 TUNA BICOL EX,,DE LATA, 33.00 , 28.25 , 4.75 ,,,,
748485700038,555 TUNA CALDERETA,,DE LATA, 33.00 , 28.25 , 4.75 ,,,,
748485700069,555 TUNA L.PAKSIW ,,DE LATA, 33.00 , 28.25 , 4.75 ,,,,
748485400808,ANGEL COND 380g ,,DE LATA, 57.00 , 52.00 , 5.00 ,,,,
748485401201,ANGEL EVAP 140ML ,,DE LATA, 12.00 , 9.75 , 2.25 ,,,,
748485400860,ANGEL EVAP 365ML ,,DE LATA, 30.00 , 25.30 , 4.70 ,,,,
748485401225,ANGEL KREM 410ML ,,DE LATA, 64.00 , 59.00 , 5.00 ,,,,
748485800035,ARGENTINA  CBEEF 260g,,DE LATA, 60.00 , 55.50 , 4.50 ,,,,
748485800097,ARGENTINA BEEF LOAF ,,DE LATA, 25.00 , 21.40 , 3.60 ,,,,
748485800011,ARGENTINA CBEEF 175g,,DE LATA, 45.00 , 39.50 , 5.50 ,,,,
748485800431,ARGENTINA CORNED BEEF -150G,,DE LATA, 39.00 , 33.50 , 5.50 ,,,,
748485802473,ARGENTINA CORNED CHICKEN -150G ,,DE LATA, 39.00 , 34.00 , 3.50 ,,,,
748485800790,ARGENTINA FIESTA SAUSAGE ,,DE LATA, 26.00 , 23.00 , 3.00 ,,,,
748485804057,ARGENTINA GINILING 100g ,,DE LATA, 24.00 , 19.52 , 4.48 ,,,,
748485804064,ARGENTINA GINILING 250g ,,DE LATA, 47.00 , 41.25 , 5.75 ,,,,
748485800455,ARGENTINA Liver 260G,,DE LATA, 43.00 , 39.75 , 3.25 ,,,,
748485800332,ARGENTINA LIVER SPREAD,,DE LATA, 26.00 , 22.00 , 4.00 ,,,,
748485800363,ARGENTINA LMEAT 375g,,DE LATA, 88.00 , 81.50 , 6.50 ,,,,
748485801490,ARGENTINA MEATLOAF -150g,,DE LATA, 29.00 , 23.24 , 5.76 ,,,,
748485800233,ARGENTINA MLOAF 170g,,DE LATA, 28.00 , 24.00 , 4.00 ,,,,
748485800448,ARGENTINA MLOAF -250g,,DE LATA, 37.00 , 32.00 , 5.00 ,,,,
748485801506,ARGENTINA SPICY SISIG,,DE LATA, 50.00 , 44.75 , 5.25 ,,,,
4800249908657,CDO KARNE NORTE ,,DE LATA, 52.00 , 47.00 , 5.00 ,,,,
4800249908848,CDO KARNE NORTE 150G ,,DE LATA, 33.00 , 27.50 , 5.50 ,,,,
4800249908237,CDO KARNE NORTE 175G ,,DE LATA, 49.00 , 44.90 , 4.10 ,,,,
4800249044119,CDO L.MEAT 220g ,,DE LATA, 57.00 , 53.00 , 4.00 ,,,,
4800249909548,CDO LIVERSPREAD 85g ,,DE LATA, 22.00 , 17.75 , 4.25 ,,,,
4800249003567,CDO LUNCHEON 350g,,DE LATA, 88.00 , 79.00 , 9.00 ,,,,
4800249908985,CDO Luncheon Meat 165g  ,,DE LATA, 41.00 , 36.00 , 5.00 ,,,,
4800249902068,CDO MEATLOAF 210g ,,DE LATA, 33.00 , 29.00 , 4.00 ,,,,
4800249902143,CDO SAUSAGE 150g ,,DE LATA, 25.00 , 21.50 , 3.50 ,,,,
748485100081,CENTURY TUNA 180g ,,DE LATA, 49.00 , 44.10 , 4.90 ,,,,
748485100319,CENTURY TUNA 420G,,DE LATA, 103.00 , 97.25 , 5.75 ,,,,
748485100418,CENTURY TUNA HOT  155g,,DE LATA, 40.00 , 35.50 , 4.50 ,,,,
748485100401,CENTURY TUNA PLAIN 155g,,DE LATA, 40.00 , 35.10 , 4.90 ,,,,
748485100098,CENTURY TUNA spicy 180g ,,DE LATA, 49.00 , 44.75 , 4.25 ,,,,
4800249032895,HIGHLANDS 175G,,DE LATA, 47.00 , 42.00 , 5.00 ,,,,
4800249011579,HIGHLANDS 260G ,,DE LATA, 93.00 , 86.00 , 7.00 ,,,,
4800158987033,HOKKAIDO 155g ,,DE LATA, 37.00 , 32.75 , 4.25 ,,,,
4800158987026,HOKKAIDO 200g,,DE LATA, 44.00 , 39.50 , 4.50 ,,,,
4800158987019,HOKKAIDO 425g,,DE LATA, 80.00 , 71.50 , 8.50 ,,,,
